순위,팀명,팀로고,승점,경기수,승,무,패,득점,실점,득실차
1,Arsenal,https://a.espncdn.com/i/teamlogos/soccer/500/359.png,29,12,9,2,1,24,6,18
2,Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png,23,12,7,2,3,23,11,12
3,Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png,22,12,7,1,4,24,10,14
4,Aston Villa,https://a.espncdn.com/i/teamlogos/soccer/500/362.png,21,12,6,3,3,15,11,4
5,Crystal Palace,https://a.espncdn.com/i/teamlogos/soccer/500/384.png,20,12,5,5,2,16,9,7
6,Brighton & Hove Albion,https://a.espncdn.com/i/teamlogos/soccer/500/331.png,19,12,5,4,3,19,16,3
7,Sunderland,https://a.espncdn.com/i/teamlogos/soccer/500/366.png,19,12,5,4,3,14,11,3
8,AFC Bournemouth,https://a.espncdn.com/i/teamlogos/soccer/500/349.png,19,12,5,4,3,19,20,-1
9,Tottenham Hotspur,https://a.espncdn.com/i/teamlogos/soccer/500/367.png,18,12,5,3,4,20,14,6
10,Manchester United,https://a.espncdn.com/i/teamlogos/soccer/500/360.png,18,12,5,3,4,19,19,0
11,Everton,https://a.espncdn.com/i/teamlogos/soccer/500/368.png,18,12,5,3,4,13,13,0
12,Liverpool,https://a.espncdn.com/i/teamlogos/soccer/500/364.png,18,12,6,0,6,18,20,-2
13,Brentford,https://a.espncdn.com/i/teamlogos/soccer/500/337.png,16,12,5,1,6,18,19,-1
14,Newcastle United,https://a.espncdn.com/i/teamlogos/soccer/500/361.png,15,12,4,3,5,13,15,-2
15,Fulham,https://a.espncdn.com/i/teamlogos/soccer/500/370.png,14,12,4,2,6,13,16,-3
16,Nottingham Forest,https://a.espncdn.com/i/teamlogos/soccer/500/393.png,12,12,3,3,6,13,20,-7
17,West Ham United,https://a.espncdn.com/i/teamlogos/soccer/500/371.png,11,12,3,2,7,15,25,-10
18,Leeds United,https://a.espncdn.com/i/teamlogos/soccer/500/357.png,11,12,3,2,7,11,22,-11
19,Burnley,https://a.espncdn.com/i/teamlogos/soccer/500/379.png,10,12,3,1,8,14,24,-10
20,Wolverhampton Wanderers,https://a.espncdn.com/i/teamlogos/soccer/500/380.png,2,12,0,2,10,7,27,-20
